기능,API Endpoint,HTTP method,메모,사람,파트,프론트,프론트 연결
공통 규약 · 인증 · 에러코드 · 테이블 상세,,,"모든 API에 공통 적용. Base URL, 헤더, 에러 포맷, DB 컬럼 상세",,공통,시작 전,
입장 (Visit 생성),/api/v1/enter,POST,메인 입장 버튼 클릭. UUID 확인/발급 + Visit 생성 + 전시존·상품 목록 반환,이세호,Visit,완료,채현 김
행동 이벤트 수집 (배치),/api/v1/events,POST,"모았다가 한번에 전송. event_id로 중복 제거, 원본 그대로 쌓기만 함",이세호,Event,진행 중,채현 김
상품 상세 조회,/api/v1/products/{product_id},GET,상품 상세 페이지용. 이미지·가격·소재·스토리 등 전체 정보,이세호,Product,기능변경으로인해일단X,이효령
채팅 액션 메시지 기록,/api/v1/chat/messages,POST,진열대·상품 클릭을 대화창에 메시지로 쌓음. 나중에 AI가 문맥으로 사용,이세호,Chat,완료,이효령
컨텍스트 챗봇 (AI ①),/api/v1/chat,POST,OpenAI. 상품 정보로 프롬프트 구성 → 스트리밍. 대화에서 취향·구매의도 추출,이세호,Chat,완료,이효령
개인 리포트 조회,/api/v1/reports/{slug},GET,무인증 공개. 박제된 payload를 재계산 없이 반환. 분석 중이면 status만,,Report,진행 중,채현 김
화보 개요 · 플로우 · 확정 사항,,,화보 기능 전체 그림. 신규 5 + 기존 수정 3. 각 엔드포인트는 별도 행 참고,,Lookbook,시작 전,이효령
화보 상품 후보 조회,/api/v1/reports/{slug}/lookbook/candidates,GET,P01. 행동 + 챗봇 데이터로 6개 추천. 계산만 — 워커·스토리지 불필요,,Lookbook,완료,채현 김
사진·마스크 업로드 URL 발급,/api/v1/uploads/presign,POST,P02-b. 서버 안 거치고 스토리지로 직행. 사진+마스크 URL 2개 반환,,Lookbook,완료,채현 김
화보 생성 · 재생성,/api/v1/reports/{slug}/lookbook,POST,P03. 큐에 넣고 202만 반환. 다시 돌리기도 같은 엔드포인트 재호출 (최대 3회),,Lookbook,진행 중,이효령
화보 생성 진행 상태 조회 (폴링),/api/v1/lookbooks/jobs/{job_id},GET,P02-c 로딩. Redis만 읽고 DB는 안 건드림. 진행률은 서버가 시간 보간,,Lookbook,진행 중,이효령
완성 화보 조회,/api/v1/lookbooks/{share_slug},GET,"P03·P04. 인증 없음(공유 대상). 박제된 값을 그대로 반환, 재계산 없음",,Lookbook,진행 중,이효령
기존 API 수정분 (enter · reports · events),,,화보 때문에 기존 3개 엔드포인트가 바뀜. 토큰 만료 규약도 변경,,Lookbook,시작 전,
관람 종료 & 리포트 생성,/api/v1/visits/{visit_id}/finish,POST,분석은 대기열로 넘기고 slug만 즉시 반환. 종료 직전 이벤트 버퍼를 동봉한다,,Report,시작 전,채현 김
